Keyword,Title,Authors,Views
Blackhole,Reputation-Aware Multi-Agent Cooperative Offloading Mechanism for Vehicular Network Attack Scenarios,"by Liping Ye, Na Fan, Junhui Zhang, Yexiong Shang, Yu Shi and Wenjun Fan",123
Blackhole,Goedesics Completeness and Cauchy Hypersurfaces of Ricci Solitons on Pseudo-Riemannian Hypersurfaces at the Fictitious Singularity: Schwarzschild-Soliton Geometries and Generalized-Schwarzschild-Soliton Ones,by Orchidea Maria Lecian,106
Blackhole,Black-Hole Evaporation for Cosmological Observers,"by Thiago de L. Campos, C. Molina and J. A. S. Lima",183
Blackhole,Soliton Geometry of Modified Gravity Models Engaged with Strange Quark Matter Fluid and Penrose Singularity Theorem,by Mohd Danish Siddiqi and Fatemah Mofarreh,409
Blackhole,"Counting Cosmic Cycles: Past Big Crunches, Future Recurrence Limits, and the Age of the Quantum Memory Matrix Universe","by Florian Neukart, Eike Marx and Valerii Vinokur",965
Blackhole,Efficient Parallel Processing of Second-Generation TDI Data for Galactic Binaries in Space-Based Gravitational Wave Missions,"by Xue-Hao Zhang, Soumya D. Mohanty, S. R. Valluri, Shao-Dong Zhao, Qun-Ying Xie and Yu-Xiao Liu",542
Blackhole,A Comparison of the Black Hole Algorithm Against Conventional Training Strategies for Neural Networks,by Péter Veres,866
Blackhole,Spectral Dimensionality of Spacetime Around a Radiating Schwarzschild Black-Hole,"by Mauricio Bellini, Juan Ignacio Musmarra, Pablo Alejandro Sánchez and Alan Sebastián Morales",494
Blackhole,Black-Hole Thermodynamics from Gauge Freedom in Extended Iyer–Wald Formalism,"by Thiago de L. Campos, Mario C. Baldiotti and C. Molina",555
Blackhole,Dynamical Black Holes and Accretion-Induced Backreaction,"by Thiago de L. Campos, C. Molina and Mario C. Baldiotti",537
Blackhole,Lower Dimensional Black Holes in Nonlinear Electrodynamics: Causal Structure and Scalar Perturbations,by Rodrigo Dal Bosco Fontana,569
Blackhole,Gravitational Redshift as a Measure of Rapid Mass Increase,"by David L. Berkahn, James M. Chappell and Derek Abbott",927
Blackhole,Analytic Investigation of the Imprints of Dark Energy and Charge on the Kerr–Newmann–De Sitter Black-Hole Photon Ring,"by James Mugambi, Eunice Omwoyo and Dismas Wamalwa",825
Blackhole,Reinforcement Q-Learning-Based Adaptive Encryption Model for Cyberthreat Mitigation in Wireless Sensor Networks,"by Sreeja Balachandran Nair Premakumari, Gopikrishnan Sundaram, Marco Rivera, Patrick Wheeler and Ricardo E. Pérez Guzmán",2284
Blackhole,Random Asymmetric Jets Driven by Black-Hole Hyperaccretion in Gamma-Ray Bursts,"by Zi-Ou Yang, Yan-Qing Qi and Tong Liu",889
Blackhole,Global Realism with Bipolar Strings: From Bell Test to Real-World Causal-Logical Quantum Gravity and Brain-Universe Similarity for Entangled Machine Thinking and Imagination,by Wen-Ran Zhang,6855
Blackhole,The Comparative Field Evaluation of Four Different Traps for Mosquito Surveillance in the Republic of Korea,"by Hak Seon Lee, Byung-Eon Noh, Seong Yoon Kim, Hyunwoo Kim and Hee Il Lee",5316
Blackhole,An Optimized Link State Routing Protocol with a Blockchain Framework for Efficient Video-Packet Transmission and Security over Mobile Ad-Hoc Networks,by Huda A. Ahmed and Hamid Ali Abed AL-Asadi,4170
Blackhole,Artificial Neural Network-Based Mechanism to Detect Security Threats in Wireless Sensor Networks,"by Shafiullah Khan, Muhammad Altaf Khan and Noha Alnazzawi",3675
Blackhole,Charged Particles Orbiting Charged Black-Bounce Black Holes,"by Sardor Murodov, Kodir Badalov, Javlon Rayimbaev, Bobomurat Ahmedov and Zdeněk Stuchlík",3207
Blackhole,Quantum-Spacetime Symmetries: A Principle of Minimum Group Representation,by Diego J. Cirilo-Lombardo and Norma G. Sanchez,2141
Blackhole,Fueling Processes on (Sub-)kpc Scales,by Francoise Combes,2449
Blackhole,Securing Smart Healthcare Cyber-Physical Systems against Blackhole and Greyhole Attacks Using a Blockchain-Enabled Gini Index Framework,"by Mannan Javed, Noshina Tariq, Muhammad Ashraf, Farrukh Aslam Khan, Muhammad Asim and Muhammad Imran",3338
Blackhole,A Deep-Learning-Based Secure Routing Protocol to Avoid Blackhole Attacks in VANETs,"by Amalia Amalia, Yushintia Pramitarini, Ridho Hendra Yoga Perdana, Kyusung Shim and Beongku An",2350
Blackhole,"The Generalised Reissner–Nordstrom Spacetimes, the Cosmological Constant and the Linear Term",by Orchidea Maria Lecian,1567
