Keyword,Title,Authors,Views
Drought soybean,Escaping Maturation Stress: Late Sowing as a Strategy to Secure High-Vigor Soybean Seeds in Subtropical Low-Altitude Environments,"by Jose Ricardo Bagateli, Ricardo Mari Bagateli, Giovana Carla da Veiga, Ivan Ricardo Carvalho, Willyan Junior Adorian Bandeira and Geri Eduardo Meneghello",99
Drought soybean,Identification of the FLA Gene Family in Soybean and Preliminary Functional Analysis of Its Drought-Responsive Candidate Genes,"by Jiyue Zhang, Lina Yang, Jingxuan Dou, Cong Wang and Zhengpei Yao",265
Drought soybean,Epigenomics and Non-Coding RNAs in Soybean Adaptation to Abiotic Stresses,"by Kinga Moskal, Bartosz Tomaszewski and Maja Boczkowska",253
Drought soybean,"Genome-Wide Identification, Expression Profile and Evolution Analysis of Importin α Gene Family in Glycine max","by Zhong-Qi Zhang, Min-Min Li, Ru-Mei Tian, Xing Cheng, Zhi-Wei Wang, Kun-Lun Li, Guan Li, Ling-Hua Lyu, Lei Liu, Na-Na Li, Longxin Wang, Kai-Hua Jia and Yong-Yi Yang",569
Drought soybean,Sustainability of Animal Production Chains: Alternative Protein Sources as an Ecological Driver in Animal Feeding: A Review,"by Massimiliano Lanza, Marco Battelli, Luigi Gallo, Francesca Soglia, Fulvia Bovera, Francesco Giunta, Riccardo Primi, Luisa Biondi, Diana Giannuzzi, Marco Zampiga, Nicola Francesco Addeo, Antonello Cannas, Pier Paolo Danieli, Bruno Ronchi and Gianni Matteo Crovetto",958
Drought soybean,Overexpression of GmbZIP59 Confers Broad-Spectrum Stress Resistance in Arabidopsis thaliana and Rice (Oryza sativa),"by Mengnan Chai, Tingyu Liu, Xunlian Fang, Danlin Dou, Zhuangyuan Cao, Ziqi Liu, Xiaoyuan Xu, Simin Ma, Kangmin Zhu, Lian Yu, Yuan Qin, Maokai Yan and Hanyang Cai",399
Drought soybean,"Effectiveness of Soil, Foliar, and Seed Selenium Applications in Modulating Physio-Biochemical, and Yield Responses to Drought Stress in Vegetable Soybean (Glycine max L. Merrill)","by Masego Sekhurwane, Brigitta Tóth and Makoena Joyce Moloi",528
Drought soybean,High-Throughput Identification and Prediction of Early Stress Markers in Soybean Under Progressive Water Regimes via Hyperspectral Spectroscopy and Machine Learning,"by Caio Almeida de Oliveira, Nicole Ghinzelli Vedana, Weslei Augusto Mendonça, João Vitor Ferreira Gonçalves, Dheynne Heyre Silva de Matos, Renato Herrig Furlanetto, Luis Guilherme Teixeira Crusiol, Amanda Silveira Reis, Werner Camargos Antunes, Roney Berti de Oliveira, Marcelo Luiz Chicati, José Alexandre M. Demattê, Marcos Rafael Nanni and Renan Falcioni",1005
Drought soybean,"Integrated Approach of Using Biostimulants for Improving Growth, Physiological Traits, and Tolerance to Abiotic Stressors in Rice and Soybean","by Pyae Pyae Win, Hyun-Hwa Park and Yong-In Kuk",1620
Drought soybean,"The XTH Gene Family in Cassava: Genomic Characterization, Evolutionary Dynamics, and Functional Roles in Abiotic Stress and Hormonal Response","by Wenke Zhang, Honggang Wang, Yuhua Chen, Man Liu, Xin Guo, Rui Zhang, Kai Luo and Yinhua Chen",785
Drought soybean,Slope Construction on Croplands in Reclaimed Tidal Flats of Korea Improved Surface Drainage but Not Soybean Growth Due to Weather Variability,"by Seung-Beom Lee, Eun-Su Song, Kwang-Seung Lee, Jin-Hyeob Kwak and Woo-Jung Choi",610
Drought soybean,The Effects of Different Crop Rotations on the Quality of Saline Soils in the Yinbei Plain,"by Jinmin Wu, Bangyan Zhang, Meiling Lin, Rui Bu, Xiaolong Bai, Xiaoli Zhang, Panting Liu and Bin Wang",640
Drought soybean,Selective and Mild Transcriptional Modulation of Lectin Genes in Soy Leaves Under Drought Stress,"by Vinicius J. S. Osterne, Rafaela A. F. Leite, Benildo S. Cavada and Kyria S. Nascimento",712
Drought soybean,"GsCYP93D1, a Cytochrome P450 Gene from Wild Soybean, Mediates the Regulation of Plant Alkaline Tolerance and ABA Sensitivity","by Chao Chen, Jianyue Dai, Nuo Xu, Wanying Zhou, Liankun Xu, Qiuying Pang, Huizi Duanmu and Haiying Li",674
