Keyword,Title,Authors,Views
Flood soybean,Combating Malnutrition: Nutrient and Energy Composition of Locally Formulated Ready-to-Use Therapeutic Foods for Children,"by Amina Sa’id Muhammad, Eridiong Ogbonna Onyenweaku, Kamaluddeen Babagana, David Sale Danjuma and Raymond Nabem Beba",1
Flood soybean,Identification of Key Waterlogging-Tolerance Genes in Cultivated and Wild Soybeans via Integrated QTL–Transcriptome Analysis,"by Yiran Sun, Lin Chen, Yuxin Jin, Shukun Wang, Shengnan Ma, Lin Yu, Chunshuang Tang, Yuying Ye, Mingxuan Li, Wenhui Zhou, Enshuang Chen, Xinru Kong, Jinbo Fu, Jinhui Wang, Qingshan Chen and Mingliang Yang",915
Flood soybean,Cascade Learning Early Classification: A Novel Cascade Learning Classification Framework for Early-Season Crop Classification,"by Weilang Kong, Xiaoqi Huang, Jialin Liu, Min Liu, Luo Liu and Yubin Guo",809
Flood soybean,Using Satellites to Monitor Soil Texture in Typical Black Soil Areas and Assess Its Impact on Crop Growth,"by Liren Gao, Yuhong Zhang, Deqiang Zang, Qian Yang, Huanjun Liu and Chong Luo",1284
Flood soybean,Comparative Analysis of Two Soybean Cultivars Revealed Tolerance Mechanisms Underlying Soybean Adaptation to Flooding,"by Xiaobo Yu, Jiangang An, Jianqiu Liang, Wenying Yang, Zhaoqiong Zeng, Mingrong Zhang, Haiying Wu, Sichen Liu and Xiaoning Cao",1319
Flood soybean,"Lowland Integrated Crop–Livestock Systems with Grass Crops Increases Pore Connectivity and Permeability, Without Requiring Soil Tillage","by Jordano Vaz Ambus, Amanda Romeiro Alves, Douglas Leandro Scheid, Antonio Celso Dantas Antonino and José Miguel Reichert",1652
Flood soybean,Genome-Wide Association Analysis for Submergence Tolerance at the Early Vegetative and Germination Stages in Wild Soybean (Glycine soja),"by Hai Anh Tran, Hyun Jo, Thi Cuc Nguyen, Jeong-Dong Lee, Hak Soo Seo and Jong Tae Song",1936
Flood soybean,Use of Phenomics in the Selection of UAV-Based Vegetation Indices and Prediction of Agronomic Traits in Soybean Subjected to Flooding,"by Charleston dos Santos Lima, Darci Francisco Uhry Junior, Ivan Ricardo Carvalho and Christian Bredemeier",1956
Flood soybean,Characterization of the Regulatory Network under Waterlogging Stress in Soybean Roots via Transcriptome Analysis,"by Yo-Han Yoo, Seung-Yeon Cho, Inhye Lee, Namgeol Kim, Seuk-Ki Lee, Kwang-Soo Cho, Eun Young Kim, Ki-Hong Jung and Woo-Jong Hong",1967
Flood soybean,Sustainable Asphalt Mixtures with Enhanced Water Resistance for Flood-Prone Regions Using Recycled LDPE and Carnauba–Soybean Oil Additive,"by Yeong-Min Kim, Kyungnam Kim and Tri Ho Minh Le",2211
Flood soybean,Biochemical Analysis to Understand the Flooding Tolerance of Mutant Soybean Irradiated with Gamma Rays,"by Setsuko Komatsu, Tiantian Zhou and Yuhi Kono",1738
Flood soybean,"Soil Moisture, Nutrients, and Plant Growths under Various Irrigation and Fertilization Regimes during the Crop Replacement Period in an Alley Intercropping System on the Loess Plateau of China","by Chengwei Luo, Ruoshui Wang, Xiaoyu Dou and Chenghao Zheng",2972
Flood soybean,"Soil Moisture, Nutrients, Root Distribution, and Crop Combination Benefits at Different Water and Fertilizer Levels during the Crop Replacement Period in an Apple Intercropping System","by Chang Xiong, Ruoshui Wang, Xiaoyu Dou, Chengwei Luo, Xin Wang, Wan Xiao and Qian Wan",2601
Flood soybean,A Modeling Approach for Analyzing the Hydrological Impacts of the Agribusiness Land-Use Scenarios in an Amazon Basin,"by Zandra A. Cunha, Carlos R. Mello, Samuel Beskow, Marcelle M. Vargas, Jorge A. Guzman and Maíra M. Moura",2661
Flood soybean,Genetic Dissection of Extreme Seed-Flooding Tolerance in a Wild Soybean PI342618B by Linkage Mapping and Candidate Gene Analysis,"by Zhe-Ping Yu, Wen-Huan Lv, Ripa Akter Sharmin, Jie-Jie Kong and Tuan-Jie Zhao",2231
