Keyword,Title,Authors,Views
Rice,"Effects of Different Additives on the Quality of Rice Straw Haylage, Ruminal Fermentation Parameters and Methane Production in Hu Sheep","by Jun Deng, Lin Wang, Chunbin Zheng, Zihan Gao, Zhongju Li, Rui Su, Weihao Chen, Xiaoyang Lv and Wei Sun",1
Rice,Spatiotemporal Analysis of Groundwater Storage Changes and Its Driving Factors in the Semi-Arid Region of the Lower Chenab Canal,"by Muhammad Hassan Ali, Mannan Aleem, Naeem Saddique, Lubna Anjum, Muhammad Imran Khan, Rana Ammar Aslam, Muhammad Umar Akbar, Miaohua Mao, Abid Sarwar, Syed Muhammad Subtain Abbas, Umar Farooq and Shazia Shukrullah",1
Rice,"Comprehensive Phytohormone Analysis Reveals the Roles of Auxin, Cytokinin, and Gibberellin in Enhancing Seed Germination and Growth of Chimonobambusa utilis","by Wanqi Zhao, Simei Ai, Haixiang Yuan, Mingzhen Lv and Shuyan Lin",1
Rice,Phenological Monitoring and Discrimination of Rice Ecosystems Using Multi-Temporal and Multi-Sensor Polarimetric SAR,"by Jean Rochielle F. Mirandilla, Megumi Yamashita and Mitsunori Yoshimura",1
Rice,Identification of miRNAs in Response to Cold Stress in ‘Chaling’ Common Wild Rice (Oryza rufipogon Griff.),"by Furong Gao, Jincheng Li, Ye Feng, Xiuwen Xiao, Lingling Han, Yufen Ma and Qiuhong Chen",1
Rice,"Agricultural Biomass as a Resource for Biomaterials, Biofertilizers, and Bioproducts: A Systematic Review","by Bruna Pereira Almeida, Luiz Felipe Silveira Pavão, Marcelo Silveira de Farias, Nidgia Maria Nicolodi, Mirta Teresinha Petry, Marisa Menezes Leal, Paulo Carteri Coradi, Victória Lumertz de Souza, Mayara de Souza Queirós, Guilherme de Figueiredo Furtado, Marcus Vinicíus Tres and Giovani Leone Zabot",1
Rice,Diversity and Functional Analysis of Gut Microbiota in the Adult of Lissorhoptrus oryzophilus (Coleoptera: Curculionidae) by Metagenome Sequencing,"by Jian-Xue Jin, Yu Wang, Gui-Fen Zhang, Zhao-Chun Ye, Bo Liu, Dan-Dan Yao, Zhao-Chun Jiang and Yong-Fu He",1
Rice,The Temporal Extracellular Proteomics Analysis Reveals the Expression Patterns of Functional Enzymes Involved in Ramie Degumming by Dickeya dadantii Strain DCE-01,"by Yuqin Hu, Mingqiang Gao, Xiang Zhou, Lifeng Cheng, Guoguo Xi, Si Tan, Wei Zhou, Zishu Chen, Zhenghong Peng, An Wang, Shengwen Duan and Qi Yang",1
Rice,Early Detection of Rice Blast Disease Using Satellite Imagery and Machine Learning on Large Intrafield Datasets,"by Alba Agenjos-Moreno, Rubén Simeón, Constanza Rubio, Antonio Uris, Beatriz Ricarte, Belén Franch and Alberto San Bautista",1
Rice,Revisiting Probabilistic Metric Spaces,by Michael D. Rice,1
Rice,Recent Advances in Crop Genetics and Breeding,"by Tianxiao Chen, Xiangjin Wei, Baohua Feng and Long Chen",1
Rice,Pseudomonas simiae WCS417 and Debaryomyces hansenii Induce Iron Deficiency Responses in Rice (Oryza sativa L.) Through Phytosiderophore Production and Gene Expression Modulation,"by Jorge Núñez-Cano, Francisco J. Ruiz-Castilla, Francisco J. Romera, José Ramos and Carlos Lucena",1
Rice,Transcriptome Analysis of Submergence Stress in Rice Provides Insights into the Molecular Mechanism of Rice Response to Flooding and the Roles of OsEXPB3 Under Submergence,"by Shengqin Liu, Zhanglun Sun, Liangliang Lv, Xinyu Huang, Huailin Fan, Mengya Li, Boxin Shi, Ya Gao, Hao Ai, Dachao Xu, Tingting Feng and Xianzhong Huang",1
Rice,"Natural Occurrence of Conventional and Emerging Fusarium Mycotoxins in Freshly Harvested Wheat Samples in Xinjiang, China","by Weihua Zheng, Jinyi Zhang, Yi Shi, Can He, Xiaolong Zhou, Junxi Jiang, Gang Wang, Jingbo Zhang, Jianhong Xu, Jianrong Shi, Fei Dong and Tao Sun",1
Rice,"Leadership and Collective Action in Promoting Eco-Friendly Farming: A Case Study of Wufeng District, Taichung City, Taiwan",by Yin-An Chen and Ai-Ching Yen,1
Rice,Electrochemical Sensor Based on Porous Biochar-Loaded MnO2 Nanocomposite for Sensitive Detection of Cd(II),"by Baoli Wang, Kai Tang and Feng Yang",1
Rice,Combating Malnutrition: Nutrient and Energy Composition of Locally Formulated Ready-to-Use Therapeutic Foods for Children,"by Amina Sa’id Muhammad, Eridiong Ogbonna Onyenweaku, Kamaluddeen Babagana, David Sale Danjuma and Raymond Nabem Beba",1
Rice,A Comparative Analysis of the Regional Integrated Rice–Crayfish Systems Based on Ecosystem Service Value: A Case Study of Huoqiu County and Chongming District in China,"by Bingbing Lou, Chen Qian, Xiangzhi Cai, Zeyi Cheng, Yewen Xi, Qiqi Pan, Jinghao Li, Zhaofang Zhang and Jiayao Li",1
Rice,"Pollution Levels and Associated Health Risks of Heavy Metals in Agricultural Soils in Zhenjiang and Yangzhou, China","by Yubo Wen, Yuanyuan Wang, Wenbing Ji, Shengmin Wu, Yang Gong and Xianqiang Meng",1
Rice,"Correction: Lei et al. Transcriptomic Analysis of Non-Specific Immune Responses in the Rice Field Eel (Monopterus albus) Infected with Pallisentis (Neosentis) celatus. Fishes 2024, 9, 452","by Qin Lei, Xiaoling Li, Hao Wu, Yiwen Wan, Yukun Xie, Jinwei Gao, Wenwen Suo, Ming Zeng, Lingli Liu, Dongsheng Ou, Zhonggui Xie and Rui Song",1
Rice,Sowing Date Regulates Japonica Rice Yield by Modulating Grain Weight and the Proportion of Grains in Secondary-to-Primary Branches,"by Bo Lu, Nankai Li, Ziping Chen, Ruirui Chen, Yuyi Zhang and Congshan Xu",1
Rice,Integrating Phenological Features with Time Series Transformer for Accurate Rice Field Mapping in Fragmented and Cloud-Prone Areas,"by Tiantian Xu, Peng Cai, Hangan Wei, Huili He and Hao Wang",1
Rice,Individual Genomic Distinctness of Rice Germplasm as Measured with an Average Pairwise Dissimilarity of Genome-Wide SNPs and Structural Variants,by Yong-Bi Fu,1
Rice,Physiological and Growth Responses of Thai Rice Genotypes to High Salinity Stress at the Seedling and Reproductive Stages,"by Supranee Santanoo, Oracha Khianpho, Jirawat Sanitchon and Piyada Theerakulpisut",1
Rice,Identification of the ACBP Family Genes and Their Response to Cold and Salt Stress in Citrus,"by Lijuan Jiang, Xiaoyu Wang, Yu Sheng and Xiaoyong Xu",19
Rice,Religious Discrimination and Othering in the U.S. After October 7th: A Data Overview,"by Elaine Howard Ecklund, Kerby Goff and Eduard van der Merwe",33
Rice,Assessing Sustainability Trade-Offs in Craft Beer Production Through Life Cycle and Costing Analysis Scenarios,"by Shini Ooyama, Yuna Seo and Koichi Maesako",51
Rice,Preparation of Diopside-Rich Compounds Using Rice Husks and Their Phosphorus Recovery Capability,"by Ryotaro Seki, Hiyu Naka, Ryouta Umebayashi, Kay Teraoka and Toru Nonami",80
Rice,An Agrobacterium-Mediated Transformation for Zingeria biebersteiniana,"by Ryan Koeth, Shahzad Hussain Shah, Calvin Juel Rigney and Changbin Chen",47
Rice,Deep Eutectic Solvents as a Sustainable Approach for Silica Recovery from Rice Husk,"by Célio S. Faria-Júnior, Lucas dos Santos Silva, Armando L. C. Cunha, Filipe S. Buarque and Bernardo Dias Ribeiro",125
Rice,Building Better Website Resources: What People Diagnosed with Sarcoma and Their Carers Want to Know,"by Georgia K. B. Halkett, Jenny Davies, Chloe Maxwell-Smith, Connor Farnell, Mandy Basson, Tania Rice-Brading, Mariana S. Sousa, Janene Sproul, Helen M. De Jong, Haryana M. Dhillon, Joanna Elizabeth Fardell and Moira O’Connor",54
