Keyword,Title,Authors,Views
Smart Farm,Precision Farming: Exploring the Challenges and Opportunities for Smallholder Farmers in Chile,"by Eva Orellana, Tirza Gonzalez, Alejandro Álvarez, Christian Fernández-Campusano, Miguel Muñoz and Raúl Carrasco",1
Smart Farm,Smart Image-Based Deep Learning System for Automated Quality Grading of Phalaenopsis Seedlings in Outsourced Production,"by Hong-Dar Lin, Zheng-Yuan Zhang and Chou-Hsien Lin",1
Smart Farm,Fog-Aware Hierarchical Autoencoder with Density-Based Clustering for AI-Driven Threat Detection in Smart Farming IoT Systems,"by Manikandan Thirumalaisamy, Sumendra Yogarayan, Md Shohel Sayeed, Siti Fatimah Abdul Razak and Ramesh Shunmugam",1
Smart Farm,Efficient Neural Modeling of Wind Power Density for National-Scale Energy Planning: Toward Sustainable AI Applications in Industry 5.0,"by Mario Molina-Almaraz, Luis Octavio Solís-Sánchez, Luis E. Bañuelos-García, Celina L. Castañeda-Miranda, Héctor A. Guerrero-Osuna and Eduardo García-Sánchez",1
Smart Farm,Transparent PEDOT:PSS/PDMS Leaf Tattoos for Multiplexed Plant Health Monitoring and Energy Harvesting,"by Antonio Ruiz-Gonzalez, Harriet Kempson and Jim Haseloff",1
Smart Farm,AI-Enabled Intelligent System for Automatic Detection and Classification of Plant Diseases Towards Precision Agriculture,"by Gujju Siva Krishna, Zameer Gulzar, Arpita Baronia, Jagirdar Srinivas, Padmavathy Paramanandam and Kasharaju Balakrishna",168
Smart Farm,Morphological and Physiological Responses of Pak Choi (Brassica rapa subsp. chinensis) Genotypes Under Controlled Drought Stress,"by Jeong-Eun Sim, Mewuleddeg Zebro, Ju-Yeon Ahn, Jae-Kyung Kim, Han-Kyeol Park, Ah-Young Shin, Yu-Jin Kang, Ki-Young Choi, Si-Hong Kim and Ho-Min Kang",127
Smart Farm,Artificial Intelligence-Based Anomaly Detection Technology for Equipment Condition Monitoring in Smart Farms,by Hyeon-O Choe and Meong-Hun Lee,196
Smart Farm,Proximal Monitoring of CO2 Dynamics in Indoor Smart Farming: A Deep Learning and Image-Sensor Fusion Approach,"by Seunghun Lee, Bora Kim, Sang-Gyu Cheon and Jae Won Lee",218
Smart Farm,Greenhouse Irrigation Control Based on Reinforcement Learning,"by Juan Pablo Padilla-Nates, Leonardo D. Garcia, Camilo Lozoya, Luis Orona and Aldo Cortes-Perez",422
Smart Farm,Synergistic Regulation of Water–Land–Energy–Food–Carbon Nexus in Large Agricultural Irrigation Areas,"by Zhenxiong Wan, Haiyan Li, Xiao Liu, Lijuan Huo, Yingshan Chen, Luchen Wang and Mo Li",311
Smart Farm,Image Segmentation of Cottony Mass Produced by Euphyllura olivina (Hemiptera: Psyllidae) in Olive Trees Using Deep Learning,"by Henry O. Velesaca, Francisca Ruano, Alice Gomez-Cantos and Juan A. Holgado-Terriza",190
Smart Farm,Fish Farming 5.0: Advanced Tools for a Smart Aquaculture Management,by Edo D’Agaro,406
Smart Farm,Economic Impact of Optical Sensors and Deep Learning in Smart Agriculture: A Scientometric Analysis,"by Nini Johana Marín-Rodríguez, Juan David Gonzalez-Ruiz and Sergio Botero",334
Smart Farm,The Role of Precision Coffee Farming in Mitigating the Biotic and Abiotic Stresses Related to Climate Change in Saudi Arabia: A Review,"by Hanan Abo El-Kassem Bosly, Rehab A. Dawoud, Tahany Noreldin, Rym Hassani and Habib Khemira",515
