Keyword,Title,Authors,Views
Soybean,Hot-Air Drying Temperature Affects Physiological Performance and Cyto(geno)toxic Endpoints in Soybean Seeds,"by Daynara Martins da Silva, Tathiana Elisa Masetto, Leilaine Gomes da Rocha, Valdiney Cambuy Siqueira, Diogo Santos Crippa and Allan Dellon Alegre Takagi",0
Soybean,Combined Application of Acidic Phosphate Fertilizers Improves Drip-Irrigated Soybean Yield and Phosphorus Utilization Efficiency in Liming Soil,"by Dongfei Liu, Hailong Di, Songlin Liu, Yuchen Hao, Wenli Cui, Kaiyong Wang, Hong Huang and Hua Fan",0
Soybean,Preparation and Evaluation of an Organic Value-Added Suspension Fertilizer Using Liquid Waste,"by Yaoli Su, Yang Luo, Lu Xu, Dehua Xu, Zhengjuan Yan and Xinlong Wang",0
Soybean,"Improving Freeze–Thaw Stability of High-Moisture Extruded Plant-Based Meat: A Synergistic Strategy Combining Glucose Oxidase, Phytase and Tamarind Gum","by Xuzeng Wang, Xiangquan Zeng and Jian Li",0
Soybean,Study on the Cooling and Lubrication Mechanism and Properties of Soybean Oil-Based MQL and Different Cryogenic Media in Titanium Alloy Processing,"by Zhiyong He, Dongzhou Jia, Qi Gao, Xiaoqiang Wu, Lan Wu and Yongqiang Fu",0
Soybean,The WRKY Transcription Factor GmWRKY40 Enhances Soybean Resistance to Phytophthora sojae via the Jasmonic Acid Pathway,"by Hong Gao, Chuanzhong Zhang, Gengpu Zhang, Fengcai Guo, Yan Sun, Xin Fang, Xiaoyu Chen, Kexin Ma, Xiran Wang, Kexin Li, Jiapeng Tong, Junjiang Wu, Pengfei Xu and Shuzhen Zhang",0
Soybean,Soybean [Glycine max (L.) Merrill] Growth and Yield Responses to Cultivar and Nitrogen Fertilization,"by Mariola Staniak, Edyta Baca, Katarzyna Czopek and Anna Stępień-Warda",0
Soybean,Design and Characterization of Silane-Modified Bio-Based Non-Isocyanate Polyurethane Coatings for Advanced Surface Applications,"by Rutu Patel, Ajay Kumar, Mayankkumar L. Chaudhary and Ram K. Gupta",0
Soybean,"Insecticidal and Ovicidal Activity of Cymbopogon citratus Essential Oil and Its Nanoemulsion Against Hemipteran Crop Pests with Mortality, Antennal Malformations, and Volatile Alterations","by Raul V. C. Apolinário, Jefferson D. Cruz, Walter S. M. F. Neto, Janaína M. C. Soares, Maria A. Mpalantinos, Suzete A. Gomes, Maria D. Feder, José L. P. Ferreira, Geraldo J. N. Vasconcelos, Jefferson R. A. Silva and Ana Claudia F. Amaral",0
Soybean,Identification of Novel Genetic Loci Related to 100-Seed Weight in the Korean Soybean Core Collection Using a Genome-Wide Association Study,"by Ju Yeon Moon, Sangjun Park, Soo-Kwon Park, Jung-Kyung Moon, Jin A. Kim and Mi-Suk Seo",0
Soybean,Leaf and Seed Hyperspectral Signatures Enable Early and Accurate Prediction of Soybean Seed Quality,"by Gabriela Souza de Oliveira, Dthenifer Cordeiro Santana, Izabela Cristina de Oliveira, Ana Carina da Silva Cândido Seron, Fábio Henrique Rojo Baio, Gleciane Aparecida Valério dos Santos, Carlos Antonio da Silva Junior, Paulo Eduardo Teodoro, Renato Nunes Vaez, Rita de Cássia Félix Alvarez and Larissa Pereira Ribeiro Teodoro",0
Soybean,Combating Malnutrition: Nutrient and Energy Composition of Locally Formulated Ready-to-Use Therapeutic Foods for Children,"by Amina Sa’id Muhammad, Eridiong Ogbonna Onyenweaku, Kamaluddeen Babagana, David Sale Danjuma and Raymond Nabem Beba",0
