Keyword,Title,Authors,Views
image sensing,A Distributed Data Management and Service Framework for Heterogeneous Remote Sensing Observations,"by Hongquan Cheng, Huayi Wu, Jie Zheng, Zhenqiang Li, Kunlun Qi, Jianya Gong, Longgang Xiang and Yipeng Cao",1
image sensing,CAGM-Seg: A Symmetry-Driven Lightweight Model for Small Object Detection in Multi-Scenario Remote Sensing,"by Hao Yao, Yancang Li, Wenzhao Feng, Ji Zhu, Haiming Yan, Shijun Zhang and Hanfei Zhao",1
image sensing,Discussion on the Dominant Factors Affecting the Main-Channel Morphological Evolution in the Wandering Reach of the Yellow River,"by Qingbin Mi, Ming Dou, Guiqiu Li, Lina Li and Guoqing Li",1
image sensing,Correction Method for Amplitude and Phase Errors Based on the h Function in 1-D Mirrored Aperture Synthesis Aimed at Geostationary Atmospheric Observation,"by Yuhang Huang, Qingxia Li, Zhaowen Wu, Zihuan Yu, Ke Chen and Rong Jin",1
image sensing,PMSAF-Net: A Progressive Multi-Scale Asymmetric Fusion Network for Lightweight and Multi-Platform Thin Cloud Removal,by Li Wang and Feng Liang,1
image sensing,"Conceptual Design of a Small, Low-Orbit Earth Observation Spacecraft with Electric Propulsion Thrusters","by Vadim Salmin, Vladimir Volotsuev, Sergey Safronov, Myo Htet Aung, Valery Abrashkin and Maksim Korovin",1
image sensing,A Review of Cross-Modal Image–Text Retrieval in Remote Sensing,"by Lingxin Xu, Luyao Wang, Jinzhi Zhang, Da Ha and Haisu Zhang",1
image sensing,LSCNet: A Lightweight Shallow Feature Cascade Network for Small Object Detection in UAV Imagery,by Zening Wang and Amiya Nayak,1
image sensing,Multimodal Magnetic Nanoparticle–Quantum Dot Composites,"by Kareem Ouhalla Knipschild, Vera Kuznetsova, Aoife Kavanagh, Finn Huonder, Caroline O’Sullivan, Amy Clayton, Yaroslav Kryuchkov, Lorenzo Branzi and Yurii K. Gun’ko",1
image sensing,Identifying Urban Pluvial Frequency Flooding Hotspots Using the Topographic Control Index and Remote Sensing Radar Images for Early Warning Systems,"by Unique Bakhrel, Nicholas Brake, Mahdi Feizbahr, Yong Je Kim, Hossein Hariri Asli, Liv Haselbach and Slater J. Macon",1
image sensing,Characterizing Growth and Estimating Yield in Winter Wheat Breeding Lines and Registered Varieties Using Multi-Temporal UAV Data,"by Liwei Liu, Xinxing Zhou, Tao Liu, Dongtao Liu, Jing Liu, Jing Wang, Yuan Yi, Xuecheng Zhu, Na Zhang, Huiyun Zhang, Guohua Feng and Hongbo Ma",1
image sensing,Motion Blur-Free High-Speed Hybrid Image Sensing,"by Paul K. J. Park, Junseok Kim and Juhyun Ko",1
image sensing,Orientation and Influence of Anisotropic Nanoparticles in Electroconductive Thermoplastic Composites: A Micromechanical Approach,"by Lisa Windisch, Björn Düsenberg, Maximilian Nowka, Karl Hilbig, Thomas Vietor and Carsten Schilde",1
image sensing,Video Satellite Visual Tracking of Space Targets with Uncertainties in Camera Parameters and Target Position,"by Zikai Zhong, Caizhi Fan and Haibo Song",1
image sensing,Coded Aperture Optimization in X-Ray Computed Tomography via Sparse Covariance Matrix Estimation,"by Yuqi Jiang, Tianyi Mao, Jianyong Zhou, Qile Zhao, Jun Yin, Xuedong Yi and Haiyou Wu",19
image sensing,Discriminative Anchor Learning for Hyperspectral Image Clustering,"by Yu Yun, Quanxue Gao, Jianwei Zhao, Yu Duan and Cheng Deng",32
image sensing,National-Scale Orchard Mapping and Yield Estimation in Pakistan Using Object-Based Random Forest and Multisource Satellite Imagery,"by Ansar Ali, Ibrar ul Hassan Akhtar, Maisam Raza and Amjad Ali",133
image sensing,Changes of Terrace Distribution in the Qinba Mountain Based on Deep Learning,"by Xiaohua Meng, Zhihua Song, Xiaoyun Cui and Peng Shi",67
image sensing,SPOD-YOLO: A Modular Approach for Small and Oriented Aircraft Detection in Satellite Remote Sensing Imagery,"by Jiajian Chen, Pengyu Guo, Yong Liu, Lu Cao, Dechao Ran, Kai Wang, Wei Hu and Liyang Wan",81
image sensing,Remote Sensing Applied to Dynamic Landscape: Seventy Years of Change Along the Southern Adriatic Coast,"by Federica Pontieri, Michele Innangi, Mirko Di Febbraro and Maria Laura Carranza",215
image sensing,RSAM: Vision-Language Two-Way Guidance for Referring Remote Sensing Image Segmentation,"by Zilong Zhao, Xin Xu, Bingxin Huang, Hongjia Chen and Fangling Pu",119
image sensing,Spectral-Attention Cooperative Encoding with Dynamic Activation for Remote Sensing Change Detection,"by Chuanzhen Rong, Yongxing Jia, Shenghui Zhou and Huali Wang",155
image sensing,Radar Coincidence Imaging Based on Dual-Frequency Dual-Phase-Center Dual-Polarized Antenna,"by Shu-Yang Wan, Chen Miao, Shi-Shan Qi and Wen Wu",171
image sensing,MAF-GAN: A Multi-Attention Fusion Generative Adversarial Network for Remote Sensing Image Super-Resolution,"by Zhaohe Wang, Hai Tan, Zhongwu Wang, Jinlong Ci and Haoran Zhai",126
image sensing,Post-Disaster Building Damage Assessment: Multi-Class Object Detection vs. Object Localization and Classification,"by Damjan Hatić, Vladyslav Polushko, Markus Rauhut and Hans Hagen",109
image sensing,AI-Powered Aerial Multispectral Imaging for Forage Crop Maturity Assessment: A Case Study in Northern Kazakhstan,"by Marden Baidalin, Tomiris Rakhimzhanova, Akhama Akhet, Saltanat Baidalina, Abylaikhan Myrzakhanov, Ildar Bogapov, Zhanat Salikova and Huseyin Atakan Varol",217
image sensing,Laser Truncation of Silicon Nanowires Fabricated by Ag-Assisted Chemical Etching for Reliable Electrode Deposition in Solar Cells,"by Grażyna Kulesza-Matlak, Ewa Sarna, Tomasz Kukulski, Anna Sypień, Mariusz Kuglarz and Kazimierz Drabczyk",115
image sensing,Research on Wetland Fine Classification Based on Remote Sensing Images with Multi-Temporal and Feature Optimization,"by Dongping Xu, Wei Wu, Yesheng Ma and Dianxing Feng",160
image sensing,Applicability of the Surface Energy Balance System (SEBS) Model for Evapotranspiration in Tropical Rubber Plantation and Its Response to Influencing Factors,"by Jingjing Wang, Weiqing Lin, Qiwen Cheng, Huichun Ye, Jinlong Zhu, Zhixiang Wu, Chuan Yang and Bingsun Wu",146
image sensing,Evaluating Remotely Sensed Spectral Indices to Quantify Seagrass in Support of Ecosystem-Based Fisheries Management in a Marine Protected Area of Western Australia,"by Nick Konzewitsch, Lara Mist and Scott N. Evans",171
image sensing,"Using Satellite Remote Sensing to Estimate Rangeland Carrying Capacity for Sustainable Management of the Marismeño Horse in Doñana National Park, Spain","by Emilio Ramírez-Juidias, Ángel Díaz de la Serna-Moreno and Manuel Delgado-Pertíñez",243
image sensing,The Animation of Nature and the Nature of Animation—The Life of Made Objects from the “Record of Tool Specters” to the “Night Parade of Hundred Demons”,by Fabio Gygi,420
